iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,T,NR,BG	56 	39 	57 	72 	76 	82 	98 	74 	76 	107 	114 	126 	116 	143 
ICCS0101,PER_CNV,T,NR,CH	27 	23 	25 	36 	38 	33 	38 	35 	34 	41 	30 	48 	36 	40 
ICCS0101,PER_CNV,T,NR,CY	: 	: 	7 	2 	16 	6 	3 	6 	18 	9 	2 	13 	5 	4 
ICCS0101,PER_CNV,T,NR,CZ	104 	106 	76 	103 	82 	99 	114 	137 	125 	111 	131 	109 	111 	136 
ICCS0101,PER_CNV,T,NR,DE	282 	310 	342 	297 	298 	320 	335 	320 	288 	355 	325 	380 	392 	: 
ICCS0101,PER_CNV,T,NR,DK	35 	40 	23 	32 	33 	20 	36 	25 	24 	34 	26 	54 	35 	22 
ICCS0101,PER_CNV,T,NR,EE	29 	28 	35 	28 	29 	36 	36 	32 	69 	59 	40 	53 	: 	: 
ICCS0101,PER_CNV,T,NR,EL	242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,NR,ES	187 	215 	203 	160 	194 	190 	245 	227 	95 	84 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,NR,FI	54 	58 	54 	40 	48 	54 	55 	74 	67 	71 	82 	74 	73 	93 
ICCS0101,PER_CNV,T,NR,FR	366 	281 	323 	295 	314 	320 	293 	282 	298 	306 	511 	657 	624 	661 
ICCS0101,PER_CNV,T,NR,HR	66 	58 	75 	54 	63 	70 	31 	47 	52 	47 	46 	34 	49 	43 
ICCS0101,PER_CNV,T,NR,HU	47 	47 	87 	86 	91 	112 	75 	156 	121 	136 	110 	138 	163 	136 
